route,route_type,garage_code,garage_name,operator,vehicle,destination_outbound,destination_inbound,destination_outbound_qualifier,destination_inbound_qualifier,destination_outbound_full,destination_inbound_full,additional_journeys,frequency_peak_am,frequency_peak_pm,frequency_offpeak,frequency_overnight,frequency_weekend,length_km,length_miles
404,regular,BC,Beddington,Transport UK,SD,Caterham-on-the-Hill,"Coulsdon, Cane Hill",Westway,Crawford Crescent,"Caterham-on-the-Hill, Westway","Coulsdon, Cane Hill, Crawford Crescent",,2.0,2.0,2.0,0.0,2.0,13.577,8.436
405,regular,TC,Croydon,Arriva,DD,West Croydon,Redhill,Park Street,Redhill Bus Station,"West Croydon, Park Street",Redhill,,4.0,4.0,4.0,0.0,3.0,17.607,10.941
406,regular,TV,Tolworth,First,DD,Epsom,Kingston,Epsom Hospital,Cromwell Road Bus Station,Epsom,"Kingston, Cromwell Road Bus Station",,2.5,2.5,3.0,0.0,2.5,11.861,7.37
407,regular,BC,Beddington,Transport UK,DD,Caterham,"Sutton, Town Centre",Caterham Valley,Sutton / Marshall's Road,Caterham,"Sutton, Town Centre, Sutton / Marshall's Road",,4.5,5.0,4.5,0.0,3.0,22.053,13.703
410,regular,N; TH,Norwood; Thornton Heath,Arriva,SD,Wallington,Crystal Palace,Shotfield,Crystal Palace Parade,"Wallington, Shotfield",Crystal Palace,,6.5,5.5,6.0,0.0,4.0,15.448,9.599
411,regular,TV,Tolworth,First,DD,West Molesey,Kingston,Central Square,Cromwell Road Bus Station,"West Molesey, Central Square","Kingston, Cromwell Road Bus Station",,4.0,4.0,3.0,0.0,2.0,7.012,4.357
412,regular,TC,Croydon,Arriva,DD,West Croydon,Purley,Park Street,Purley High Street,"West Croydon, Park Street",Purley,,3.0,3.0,3.0,0.0,2.0,10.619,6.598
413,regular,AL,Merton,Go-Ahead,SD,Morden,Sutton Bus Garage,Morden Station,,Morden,Sutton Bus Garage,,4.0,4.0,4.0,0.0,2.0,10.453,6.495
415,regular,QB,Battersea,Transport UK,DD,"Old Kent Road, Tesco",Tulse Hill,Burgess Park / Dunton Road,Tulse Hill Station,"Old Kent Road, Tesco, Burgess Park / Dunton Road",Tulse Hill,,5.0,5.0,5.0,0.0,3.0,8.621,5.357
417,regular,BN,Brixton Hill,Arriva,DD,Clapham Common,Crystal Palace,Omnibus Clapham,Crystal Palace Parade,"Clapham Common, Omnibus Clapham",Crystal Palace,,6.5,6.0,6.0,0.0,4.0,9.078,5.641
418,regular,TV,Tolworth,First,DD,Epsom,Kingston,Epsom Station,Cromwell Road Bus Station,Epsom,"Kingston, Cromwell Road Bus Station",,2.5,2.5,3.0,0.0,2.5,12.438,7.728
419,regular,AV,Hounslow,First,SD,Norley Vale,Richmond,,Richmond Bus Station,Norley Vale,Richmond,,5.0,5.0,5.0,0.0,4.0,12.386,7.697
422,regular,PD,Plumstead,Stagecoach London,DD,Bexleyheath Clock Tower,North Greenwich,,North Greenwich Station,Bexleyheath Clock Tower,North Greenwich,,5.5,5.5,6.0,0.0,5.0,18.717,11.63
423,regular,WK,Hounslow Heath,First,DD,Heathrow Terminal 5,"Hounslow, Bus Station",,,Heathrow Terminal 5,"Hounslow, Bus Station",,3.0,3.0,3.0,0.0,2.0,15.288,9.499
424,regular,SW,Stockwell,Go-Ahead,SD,Fulham Football Club,Putney Heath,Stevenage Road / Fulham Football Club,Putney Heath / Green Man,Fulham Football Club,Putney Heath,,1.5,2.0,1.5,0.0,1.5,12.136,7.541
425,regular,BW,Bow,Stagecoach London,DD,Kenninghall Road,Ilford,,Hainault Street,Kenninghall Road,"Ilford, Hainault Street",,5.5,6.0,6.0,0.0,4.5,15.523,9.645
427,regular,GW,Southall,Transport UK,DD,Bridge Road,Uxbridge,,York Road,Bridge Road,"Uxbridge, York Road",,6.5,6.5,6.5,0.0,5.5,11.029,6.853
428,regular,DT,Dartford,Arriva,DD,Bluewater,Erith,Bluewater Shopping Centre,Erith Town Centre / Riverside,Bluewater,Erith,,4.0,4.0,4.0,0.0,2.0,15.718,9.767
430,regular,AF,Putney,Go-Ahead,DD,South Kensington,Minstead Gardens,Victoria & Albert Museum,,"South Kensington, Victoria & Albert Museum",Minstead Gardens,,4.5,4.5,4.5,0.0,4.5,10.889,6.766
432,regular,N,Norwood,Arriva,DD,Anerley Station,Brixton,Jasmine Grove,Brixton Station,"Anerley Station, Jasmine Grove",Brixton,,5.0,5.0,5.0,0.0,4.0,8.119,5.045
433,regular,BC,Beddington,Transport UK,SD,West Croydon,Addington Village,Park Street,Addington Village Interchange,"West Croydon, Park Street",Addington Village,,6.0,6.0,6.0,0.0,3.0,10.064,6.254
434,regular,C,Croydon,Go-Ahead,SD,Caterham,"Coulsdon, Ridgemount Avenue",Caterham Valley,Ridgemount Avenue,Caterham,"Coulsdon, Ridgemount Avenue",,2.0,2.0,2.0,0.0,2.0,15.412,9.577
436,regular,NX,New Cross,Go-Ahead,DD,Battersea Park Station,Molesworth Street,,,Battersea Park Station,Molesworth Street,,5.0,5.0,5.0,0.0,5.0,11.952,7.427
439,regular,C,Croydon,Go-Ahead,SD,Whyteleafe South,Waddon Marsh,Wapses Lodge Roundabout,,"Whyteleafe South, Wapses Lodge Roundabout",Waddon Marsh,,2.0,1.5,2.0,0.0,1.5,10.696,6.646
440,regular,V,Stamford Brook,First,SD,"Wembley, First Way","Turnham Green, Church",First Way,,"Wembley, First Way","Turnham Green, Church",,4.0,4.0,4.0,0.0,4.0,14.382,8.936
444,regular,NP,Northumberland Park,Go-Ahead,SD,Chingford Station,Turnpike Lane Station,,Turnpike Lane Bus Station,Chingford Station,"Turnpike Lane Station, Turnpike Lane Bus Station",,5.0,5.0,5.0,0.0,4.0,12.469,7.748
450,regular,C,Croydon,Go-Ahead,SD,Lower Sydenham,West Croydon,Bell Green / Sainsbury's,West Croydon Bus Station,"Lower Sydenham, Bell Green / Sainsbury's",West Croydon,,5.5,5.5,5.5,0.0,4.0,13.689,8.506
