stop_id,stop_name,lat,lon,borough,in_lcc,degree,degree_rank,degree_percentile,betweenness,betweenness_rank,betweenness_percentile,closeness,closeness_rank,closeness_percentile
490012769W,St Luke's Music Education Centre,51.524740,-0.093540,,true,2,10,36,0.001505,4920,75,0.023382,4990,74
490012771N,St Margarets,51.533580,0.084380,,true,2,10,36,0.000507,9942,49,0.022737,6980,64
490012772E,St Margaret's Church / Brandram Road,51.463020,-0.000050,,true,2,10,36,0.005092,1447,93,0.024715,2067,89
490012772W,St Margaret's Church / Brandram Road,51.463120,0.000940,,true,2,10,36,0.058625,143,99,0.025385,1182,94
490012773K,St Margarets Church,51.611180,-0.278730,,true,4,8,93,0.000950,6863,65,0.021927,9820,48
490012773L,St Margarets Church,51.611480,-0.278120,,true,6,6,99,0.000720,8223,58,0.021509,11284,41
490012774E,St Margaret's Road,51.580620,-0.434050,,true,2,10,36,0.001052,6396,67,0.019631,15638,18
490012775E,St Mark's Church,51.398830,0.016590,,true,4,8,93,0.001321,5416,72,0.024831,1906,90
490012775J,St Mark's Church,51.398790,0.016720,,true,3,9,80,0.002207,3510,82,0.025382,1184,94
490012776E,St Mark's Church,51.395010,-0.300830,,true,5,7,98,0.005626,1286,94,0.023212,5493,71
490012776W,St Mark's Church,51.394870,-0.300380,,true,2,10,36,0.000012,18567,4,0.022741,6961,64
490012778E,St Mark's Close,51.653240,-0.186600,,true,2,10,36,0.000555,9500,51,0.018988,16388,14
490012778W,St Mark's Close,51.653300,-0.187130,,true,2,10,36,0.000089,16909,12,0.018658,16709,13
490012781W,St Martins Estate,51.444650,-0.112350,,true,2,10,36,0.001111,6153,68,0.022835,6654,65
490012782E,St Mary's & St Michael's Church,51.514180,-0.052340,,true,2,10,36,0.001048,6411,67,0.022688,7170,63
490012782W,St Mary's & St Michael's Church,51.514030,-0.052640,,true,2,10,36,0.000420,10919,44,0.022539,7651,60
490012783E,St Mary Axe,51.513510,-0.082750,,true,2,10,36,0.000058,17562,9,0.023584,4458,77
490012783W,St Mary Axe,51.513420,-0.082700,,true,2,10,36,0.000044,17904,7,0.023277,5284,72
490012786E,St Mary of Nazareth Church,51.382250,-0.009560,,true,2,10,36,0.000443,10654,45,0.022378,8184,57
490012787E,St Mary's Avenue,51.597770,-0.201030,,true,3,9,80,0.000108,16424,15,0.025229,1343,93
490012787W,St Mary's Avenue,51.597330,-0.201610,,true,2,10,36,0.000052,17684,8,0.024749,2018,90
490012788E,St Mary's Cemetery,51.530640,-0.228920,,true,2,10,36,0.000835,7491,62,0.021560,11132,42
490012788W,St Mary's Cemetery,51.530090,-0.227270,,true,2,10,36,0.002902,2681,86,0.021945,9752,49
490012789N,Lothair Road,51.503200,-0.307000,,true,2,10,36,0.000396,11225,42,0.017688,17495,9
490012789S,St Mary's Church,51.504450,-0.306040,,true,2,10,36,0.000412,11014,43,0.017672,17502,8
490012790N,St Mary's Church,51.635210,-0.155010,,true,2,10,36,0.000519,9836,49,0.021305,11995,37
490012790S,St Mary's Church,51.636080,-0.155940,,true,2,10,36,0.004208,1773,91,0.021895,9945,48
490012791N,St Mary's Church,51.400890,0.000330,,true,2,10,36,0.000055,17627,9,0.022469,7878,59
490012791S,St Mary's Church,51.400890,0.000200,,true,2,10,36,0.000008,18627,4,0.022644,7318,62
490012792N,St Mary's Church,51.451840,-0.440630,,true,3,9,80,0.004214,1768,91,0.024051,3318,83
490012792S,St Mary's Church,51.451220,-0.440620,,true,3,9,80,0.000052,17688,8,0.022975,6192,68
490012794W10,St Mary's Church / West Croydon,51.380210,-0.099610,,true,4,8,93,0.003330,2318,88,0.026338,482,98
490012796N,Southfield Gardens,51.435120,-0.337330,,true,2,10,36,0.008270,783,96,0.025474,1109,94
490012796N1,St Mary's University,51.437310,-0.336140,,true,2,10,36,0.008180,801,96,0.024914,1774,91
490012796S,St Mary's University,51.437600,-0.335850,,true,2,10,36,0.003274,2360,88,0.024704,2075,89
490012796S2,Southfield Gardens,51.434840,-0.337230,,true,2,10,36,0.003363,2298,88,0.025260,1308,93
490012797N,St Mary's Hospital,51.516700,-0.172460,,true,2,10,36,0.000818,7587,61,0.023535,4566,76
490012797P,St Mary's Hospital,51.517400,-0.172490,,true,5,7,98,0.005074,1454,93,0.023976,3481,82
490012798E,Hampton Care Nursing Home,51.413640,-0.377520,,true,2,10,36,0.000698,8410,57,0.020332,14474,24
490012798W,Hampton Care Nursing Home,51.413480,-0.378490,,true,2,10,36,0.000715,8259,58,0.019660,15604,18
490012799E,St Mary's Road,51.437210,0.161100,,true,2,10,36,0.000134,15858,18,0.021491,11370,40
490012799W,St Mary's Road,51.437050,0.162240,,true,3,9,80,0.001464,5016,74,0.022448,7947,58
490012800N,St Mary's Road,51.470350,-0.054070,,true,2,10,36,0.000023,18343,5,0.019226,16156,15
490012802N,St Mary's Road,51.630480,-0.043840,,true,2,10,36,0.000010,18593,4,0.020318,14506,24
490012802S,St Mary's Road,51.631690,-0.043370,,true,2,10,36,0.000011,18572,4,0.020410,14343,25
490012803E,St Mary's Road,51.539190,-0.251260,,true,3,9,80,0.000698,8404,57,0.021697,10680,44
490012803Z,St Mary's Road,51.539000,-0.251090,,true,5,7,98,0.002769,2793,86,0.022330,8381,56
490012804N,St Mary's Road,51.595580,-0.482970,,true,2,10,36,0.001660,4557,77,0.019862,15314,20
490012804S,St Mary's Road,51.595640,-0.482830,,true,2,10,36,0.001891,4062,79,0.020054,15006,21
490012806N,St Mary's School,51.550440,-0.175990,,true,2,10,36,0.007887,862,96,0.023265,5322,72
490012808Z,St Matthew's Church,51.459940,-0.115140,,true,2,10,36,0.000025,18279,5,0.021216,12288,35
490012809W,St Matthew's Church,51.643770,-0.043600,,true,2,10,36,0.000260,13295,31,0.021295,12029,37
490012810N,St Matthews Estate,51.458350,-0.115080,,true,4,8,93,0.000891,7192,63,0.021331,11912,37
490012810S,St Matthews Estate,51.458150,-0.114780,,true,3,9,80,0.000814,7601,61,0.021365,11796,38
